"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"0","422","FOLLOWS"
,,"424","0","FOLLOWS"
,,"0","425","FOLLOWS"
,,"0","428","FOLLOWS"
,,"429","0","FOLLOWS"
,,"0","430","FOLLOWS"
,,"445","0","FOLLOWS"
,,"0","446","FOLLOWS"
,,"447","0","FOLLOWS"
,,"451","0","FOLLOWS"
,,"0","448","FOLLOWS"
,,"453","0","FOLLOWS"
,,"0","454","FOLLOWS"
,,"0","456","FOLLOWS"
,,"457","0","FOLLOWS"
,,"0","461","FOLLOWS"
,,"460","0","FOLLOWS"
,,"0","465","FOLLOWS"
,,"466","0","FOLLOWS"
,,"468","0","FOLLOWS"
,,"0","469","FOLLOWS"
,,"471","0","FOLLOWS"
,,"473","0","FOLLOWS"
,,"0","472","FOLLOWS"
,,"474","0","FOLLOWS"
,,"0","475","FOLLOWS"
,,"0","478","FOLLOWS"
,,"477","0","FOLLOWS"
,,"0","482","FOLLOWS"
,,"481","0","FOLLOWS"
,,"0","484","FOLLOWS"
,,"486","0","FOLLOWS"
,,"0","490","FOLLOWS"
,,"491","0","FOLLOWS"
,,"494","0","FOLLOWS"
,,"0","492","FOLLOWS"
,,"495","0","FOLLOWS"
,,"0","497","FOLLOWS"
,,"499","0","FOLLOWS"
,,"508","0","FOLLOWS"
,,"0","501","FOLLOWS"
,,"0","511","FOLLOWS"
,,"512","0","FOLLOWS"
,,"0","514","FOLLOWS"
,,"0","516","FOLLOWS"
,,"517","0","FOLLOWS"
,,"0","519","FOLLOWS"
,,"520","0","FOLLOWS"
,,"524","0","FOLLOWS"
,,"0","523","FOLLOWS"
,,"525","0","FOLLOWS"
,,"0","526","FOLLOWS"
,,"529","0","FOLLOWS"
,,"0","531","FOLLOWS"
,,"534","0","FOLLOWS"
,,"0","535","FOLLOWS"
,,"539","0","FOLLOWS"
,,"0","541","FOLLOWS"
,,"544","0","FOLLOWS"
,,"0","545","FOLLOWS"
,,"0","548","FOLLOWS"
,,"547","0","FOLLOWS"
,,"0","549","FOLLOWS"
,,"550","0","FOLLOWS"
,,"0","555","FOLLOWS"
,,"554","0","FOLLOWS"
,,"0","558","FOLLOWS"
,,"559","0","FOLLOWS"
,,"0","561","FOLLOWS"
,,"564","0","FOLLOWS"
,,"0","566","FOLLOWS"
,,"567","0","FOLLOWS"
,,"0","568","FOLLOWS"
,,"569","0","FOLLOWS"
,,"573","0","FOLLOWS"
,,"0","574","FOLLOWS"
,,"581","0","FOLLOWS"
,,"587","0","FOLLOWS"
,,"0","586","FOLLOWS"
,,"589","0","FOLLOWS"
,,"0","592","FOLLOWS"
,,"594","0","FOLLOWS"
,,"0","595","FOLLOWS"
,,"597","0","FOLLOWS"
,,"0","599","FOLLOWS"
,,"604","0","FOLLOWS"
,,"0","608","FOLLOWS"
,,"609","0","FOLLOWS"
,,"0","611","FOLLOWS"
,,"613","0","FOLLOWS"
,,"0","617","FOLLOWS"
,,"618","0","FOLLOWS"
,,"0","626","FOLLOWS"
,,"627","0","FOLLOWS"
,,"630","0","FOLLOWS"
,,"0","629","FOLLOWS"
,,"633","0","FOLLOWS"
,,"0","635","FOLLOWS"
,,"0","637","FOLLOWS"
,,"638","0","FOLLOWS"
,,"0","641","FOLLOWS"
,,"642","0","FOLLOWS"
,,"0","644","FOLLOWS"
,,"645","0","FOLLOWS"
,,"0","648","FOLLOWS"
,,"0","650","FOLLOWS"
,,"651","0","FOLLOWS"
,,"0","654","FOLLOWS"
,,"655","0","FOLLOWS"
,,"656","0","FOLLOWS"
,,"660","0","FOLLOWS"
,,"0","657","FOLLOWS"
,,"664","0","FOLLOWS"
,,"0","666","FOLLOWS"
,,"667","0","FOLLOWS"
,,"0","668","FOLLOWS"
,,"670","0","FOLLOWS"
,,"0","673","FOLLOWS"
,,"677","0","FOLLOWS"
,,"0","678","FOLLOWS"
,,"680","0","FOLLOWS"
,,"0","684","FOLLOWS"
,,"0","687","FOLLOWS"
,,"685","0","FOLLOWS"
,,"691","0","FOLLOWS"
,,"0","692","FOLLOWS"
,,"694","0","FOLLOWS"
,,"0","697","FOLLOWS"
,,"699","0","FOLLOWS"
,,"0","701","FOLLOWS"
,,"702","0","FOLLOWS"
,,"0","703","FOLLOWS"
,,"706","0","FOLLOWS"
,,"0","707","FOLLOWS"
,,"0","713","FOLLOWS"
,,"711","0","FOLLOWS"
,,"719","0","FOLLOWS"
,,"0","716","FOLLOWS"
,,"0","724","FOLLOWS"
,,"723","0","FOLLOWS"
,,"0","726","FOLLOWS"
,,"727","0","FOLLOWS"
,,"0","735","FOLLOWS"
,,"736","0","FOLLOWS"
,,"0","737","FOLLOWS"
,,"739","0","FOLLOWS"
,,"0","744","FOLLOWS"
,,"745","0","FOLLOWS"
,,"0","747","FOLLOWS"
,,"751","0","FOLLOWS"
,,"0","752","FOLLOWS"
,,"755","0","FOLLOWS"
,,"756","0","FOLLOWS"
,,"759","0","FOLLOWS"
,,"760","0","FOLLOWS"
,,"761","0","FOLLOWS"
,,"0","762","FOLLOWS"
,,"764","0","FOLLOWS"
,,"0","766","FOLLOWS"
,,"767","0","FOLLOWS"
,,"0","769","FOLLOWS"
,,"770","0","FOLLOWS"
,,"0","771","FOLLOWS"
,,"773","0","FOLLOWS"
,,"0","775","FOLLOWS"
